State,Industry,Series ID,Month,Turnover
Northern Territory,Food retailing,A3349527K,Apr-1988,25.6
Northern Territory,Food retailing,A3349527K,May-1988,26.7
Northern Territory,Food retailing,A3349527K,Jun-1988,27.7
Northern Territory,Food retailing,A3349527K,Jul-1988,28.2
Northern Territory,Food retailing,A3349527K,Aug-1988,28.2
Northern Territory,Food retailing,A3349527K,Sep-1988,29.4
Northern Territory,Food retailing,A3349527K,Oct-1988,28.3
Northern Territory,Food retailing,A3349527K,Nov-1988,27.4
Northern Territory,Food retailing,A3349527K,Dec-1988,30.9
Northern Territory,Food retailing,A3349527K,Jan-1989,26.7
Northern Territory,Food retailing,A3349527K,Feb-1989,25.9
Northern Territory,Food retailing,A3349527K,Mar-1989,30
Northern Territory,Food retailing,A3349527K,Apr-1989,27.8
Northern Territory,Food retailing,A3349527K,May-1989,29.8
Northern Territory,Food retailing,A3349527K,Jun-1989,30.8
Northern Territory,Food retailing,A3349527K,Jul-1989,31.7
Northern Territory,Food retailing,A3349527K,Aug-1989,33.3
Northern Territory,Food retailing,A3349527K,Sep-1989,30.5
Northern Territory,Food retailing,A3349527K,Oct-1989,31.2
Northern Territory,Food retailing,A3349527K,Nov-1989,31.1
Northern Territory,Food retailing,A3349527K,Dec-1989,31.1
Northern Territory,Food retailing,A3349527K,Jan-1990,28.2
Northern Territory,Food retailing,A3349527K,Feb-1990,27.4
Northern Territory,Food retailing,A3349527K,Mar-1990,31.1
Northern Territory,Food retailing,A3349527K,Apr-1990,30.6
Northern Territory,Food retailing,A3349527K,May-1990,32.3
Northern Territory,Food retailing,A3349527K,Jun-1990,32.7
Northern Territory,Food retailing,A3349527K,Jul-1990,33.2
Northern Territory,Food retailing,A3349527K,Aug-1990,35.6
Northern Territory,Food retailing,A3349527K,Sep-1990,32.9
Northern Territory,Food retailing,A3349527K,Oct-1990,33.6
Northern Territory,Food retailing,A3349527K,Nov-1990,32.9
Northern Territory,Food retailing,A3349527K,Dec-1990,34.5
Northern Territory,Food retailing,A3349527K,Jan-1991,31.6
Northern Territory,Food retailing,A3349527K,Feb-1991,30.6
Northern Territory,Food retailing,A3349527K,Mar-1991,35.7
Northern Territory,Food retailing,A3349527K,Apr-1991,32.6
Northern Territory,Food retailing,A3349527K,May-1991,35.4
Northern Territory,Food retailing,A3349527K,Jun-1991,35.6
Northern Territory,Food retailing,A3349527K,Jul-1991,38.3
Northern Territory,Food retailing,A3349527K,Aug-1991,38.2
Northern Territory,Food retailing,A3349527K,Sep-1991,34.3
Northern Territory,Food retailing,A3349527K,Oct-1991,36.8
Northern Territory,Food retailing,A3349527K,Nov-1991,34.8
Northern Territory,Food retailing,A3349527K,Dec-1991,35.9
Northern Territory,Food retailing,A3349527K,Jan-1992,33.4
Northern Territory,Food retailing,A3349527K,Feb-1992,33
Northern Territory,Food retailing,A3349527K,Mar-1992,35
Northern Territory,Food retailing,A3349527K,Apr-1992,35.9
Northern Territory,Food retailing,A3349527K,May-1992,36.7
Northern Territory,Food retailing,A3349527K,Jun-1992,38.2
Northern Territory,Food retailing,A3349527K,Jul-1992,41.4
Northern Territory,Food retailing,A3349527K,Aug-1992,40.5
Northern Territory,Food retailing,A3349527K,Sep-1992,39.5
Northern Territory,Food retailing,A3349527K,Oct-1992,40.9
Northern Territory,Food retailing,A3349527K,Nov-1992,37.2
Northern Territory,Food retailing,A3349527K,Dec-1992,43.1
Northern Territory,Food retailing,A3349527K,Jan-1993,38
Northern Territory,Food retailing,A3349527K,Feb-1993,36.2
Northern Territory,Food retailing,A3349527K,Mar-1993,40
Northern Territory,Food retailing,A3349527K,Apr-1993,39.9
Northern Territory,Food retailing,A3349527K,May-1993,39.7
Northern Territory,Food retailing,A3349527K,Jun-1993,39.3
Northern Territory,Food retailing,A3349527K,Jul-1993,44
Northern Territory,Food retailing,A3349527K,Aug-1993,41.9
Northern Territory,Food retailing,A3349527K,Sep-1993,41.1
Northern Territory,Food retailing,A3349527K,Oct-1993,40.9
Northern Territory,Food retailing,A3349527K,Nov-1993,40
Northern Territory,Food retailing,A3349527K,Dec-1993,43.7
Northern Territory,Food retailing,A3349527K,Jan-1994,37
Northern Territory,Food retailing,A3349527K,Feb-1994,35.8
Northern Territory,Food retailing,A3349527K,Mar-1994,37.8
Northern Territory,Food retailing,A3349527K,Apr-1994,37
Northern Territory,Food retailing,A3349527K,May-1994,38.5
Northern Territory,Food retailing,A3349527K,Jun-1994,39.3
Northern Territory,Food retailing,A3349527K,Jul-1994,43.5
Northern Territory,Food retailing,A3349527K,Aug-1994,42.9
Northern Territory,Food retailing,A3349527K,Sep-1994,41.7
