State,Industry,Series ID,date,Turnover
Northern Territory,Food retailing,A3349527K,1988-04-01,25.6
Northern Territory,Food retailing,A3349527K,1988-05-01,26.7
Northern Territory,Food retailing,A3349527K,1988-06-01,27.7
Northern Territory,Food retailing,A3349527K,1988-07-01,28.2
Northern Territory,Food retailing,A3349527K,1988-08-01,28.2
Northern Territory,Food retailing,A3349527K,1988-09-01,29.4
Northern Territory,Food retailing,A3349527K,1988-10-01,28.3
Northern Territory,Food retailing,A3349527K,1988-11-01,27.4
Northern Territory,Food retailing,A3349527K,1988-12-01,30.9
Northern Territory,Food retailing,A3349527K,1989-01-01,26.7
Northern Territory,Food retailing,A3349527K,1989-02-01,25.9
Northern Territory,Food retailing,A3349527K,1989-03-01,30
Northern Territory,Food retailing,A3349527K,1989-04-01,27.8
Northern Territory,Food retailing,A3349527K,1989-05-01,29.8
Northern Territory,Food retailing,A3349527K,1989-06-01,30.8
Northern Territory,Food retailing,A3349527K,1989-07-01,31.7
Northern Territory,Food retailing,A3349527K,1989-08-01,33.3
Northern Territory,Food retailing,A3349527K,1989-09-01,30.5
Northern Territory,Food retailing,A3349527K,1989-10-01,31.2
Northern Territory,Food retailing,A3349527K,1989-11-01,31.1
Northern Territory,Food retailing,A3349527K,1989-12-01,31.1
Northern Territory,Food retailing,A3349527K,1990-01-01,28.2
Northern Territory,Food retailing,A3349527K,1990-02-01,27.4
Northern Territory,Food retailing,A3349527K,1990-03-01,31.1
Northern Territory,Food retailing,A3349527K,1990-04-01,30.6
Northern Territory,Food retailing,A3349527K,1990-05-01,32.3
Northern Territory,Food retailing,A3349527K,1990-06-01,32.7
Northern Territory,Food retailing,A3349527K,1990-07-01,33.2
Northern Territory,Food retailing,A3349527K,1990-08-01,35.6
Northern Territory,Food retailing,A3349527K,1990-09-01,32.9
Northern Territory,Food retailing,A3349527K,1990-10-01,33.6
Northern Territory,Food retailing,A3349527K,1990-11-01,32.9
Northern Territory,Food retailing,A3349527K,1990-12-01,34.5
Northern Territory,Food retailing,A3349527K,1991-01-01,31.6
Northern Territory,Food retailing,A3349527K,1991-02-01,30.6
Northern Territory,Food retailing,A3349527K,1991-03-01,35.7
Northern Territory,Food retailing,A3349527K,1991-04-01,32.6
Northern Territory,Food retailing,A3349527K,1991-05-01,35.4
Northern Territory,Food retailing,A3349527K,1991-06-01,35.6
Northern Territory,Food retailing,A3349527K,1991-07-01,38.3
